2011-10-14 16:10:12 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:10:12 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:10:31 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:10:32 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:10:35 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:10:41 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:10:41 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:10:44 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:10:44 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:10:50 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:10:50 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:11:04 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:11:04 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:11:05 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:11:05 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:11:13 Notice: Notice (8): Undefined variable: score in [/var/www/vhosts/groofi.com/httpdocs/app/views/elements/users/profile.ctp, line 123]
2011-10-14 16:16:03 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:16:03 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:16:04 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:16:04 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:16:34 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:16:34 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:16:38 Notice: Notice (8): Undefined variable: score in [/var/www/vhosts/groofi.com/httpdocs/app/views/elements/users/profile.ctp, line 123]
2011-10-14 16:17:09 Notice: Notice (8): Undefined variable: i in [/var/www/vhosts/groofi.com/httpdocs/app/webroot/js.php, line 43]
2011-10-14 16:22:21 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:22:21 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:22:22 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:22:22 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:22:27 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:22:27 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:22:28 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:22:28 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:22:41 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:22:41 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:22:42 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:22:42 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:22:47 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:22:47 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:22:48 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:22:48 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:23:07 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:23:07 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:23:08 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:23:08 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:23:09 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:23:09 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
